Item_ID  ,ItemName ,Price ,Ingredients ,Storefront_ID 
77,Baked Quinoa Omelette with Hummus,3.29,eggs,77
78,Baked Quinoa Ramen with Noodles,29.99,butter,78
79,Baked Quinoa Sushi Roll,9.99,flour,79
80,Baked Rice Casserole,2.99,chocolate chips,80
81,Baked Salmon Fajitas with Vegetables,22.99,chocolate chips,81
82,Baked Shrimp Grain Bowl,3.99,sugar,82
83,Baked Shrimp Pasta,34.99,flour,83
84,Baked Spinach Kebab with Fries,29.99,sugar,84
85,Baked Spinach Risotto,3.19,baking powder,85
86,Baked Sweet Potato Panini with Mashed Potatoes,79.99,vanilla extract,86
87,Baked Sweet Potato Stew with Coleslaw,49.99,flour,87
88,Baked Turkey Salad,3.59,flour,88
89,Baked Turkey Tagine with Guacamole,5.99,milk,89
90,Banana,29.99,pepper,90
91,Bean Bowl,8.99,salt,91
92,Bean Burger,59.99,eggs,92
93,Bean Curry with Vegetables,19.99,vanilla extract,93
94,Bean Pasta with Lemon Wedges,8.99,salt,94
95,Bean Salad,2.49,salt,95
96,Bean Sandwich,24.99,pepper,96
97,Bean Soup with Yogurt Sauce,29.99,flour,97
98,Bean Spring Rolls,0.99,sugar,98
99,Bean Tacos with Hummus,16.99,butter,99
100,Beef Burger with Chimichurri,39.99,pepper,100
101,Beef Casserole with Noodles,79.99,pepper,101
102,Beef Curry with Pita,2.49,salt,102
103,Beef Frittata with Tahini,39.99,salt,103
104,Beef Gyro with Hummus,34.99,pepper,104
105,Beef Pad Thai,9.99,vanilla extract,105
106,Beef Paella,359.99,eggs,106
107,Beef Salad,59.99,sugar,107
108,Beef Soup,99.99,milk,108
109,Beef Soup with Fries,34.99,vanilla extract,109
110,Beef Spring Rolls,34.99,vanilla extract,110
111,Beef Stir Fry with Side Salad,59.99,chocolate chips,111
112,Blueberry,79.99,salt,112
113,Broccoli Burger with Chimichurri,109.99,flour,113
114,Broccoli Casserole,49.99,baking powder,114
115,Broccoli Frittata with Noodles,39.99,flour,115
116,Broccoli Stir Fry,3.59,sugar,116
117,Broccoli Stir Fry with Hummus,34.99,eggs,117
118,Broccoli Tagine with Fries,2.49,sugar,118
119,Broccoli Wrap,4.89,sugar,119
120,Brownie,10.99,sugar,120
121,Caramelized Bean Kebab,34.99,chocolate chips,121
122,Caramelized Bean Udon with Coleslaw,19.99,sugar,122
123,Caramelized Beef Casserole with Herb Butter,2.29,milk,123
124,Caramelized Beef Paella with Lemon Wedges,1.89,vanilla extract,124
125,Caramelized Beef Risotto,12.99,salt,125
126,Caramelized Broccoli Burger,2.89,chocolate chips,126
127,Caramelized Broccoli Pad Thai with Noodles,4.89,sugar,127
128,Caramelized Carrot Bowl with Garlic Bread,4.49,eggs,128
129,Caramelized Chicken Gyro,24.99,eggs,129
130,Caramelized Chicken Ramen with Cheese,29.99,sugar,130
131,Caramelized Chicken Stew,5.99,vanilla extract,131
132,Caramelized Chicken Sushi Roll with Pita,22.99,pepper,132
133,Caramelized Chickpea Pasta,12.99,butter,133
134,Caramelized Chickpea Tacos,39.99,baking powder,134
135,Caramelized Egg Tacos with Noodles,3.99,baking powder,135
136,Caramelized Eggplant Sushi Roll with Tomato Salsa,29.99,baking powder,136
137,Caramelized Halloumi Fajitas with Guacamole,79.99,pepper,137
138,Caramelized Halloumi Soup,5.99,butter,138
139,Caramelized Kale Frittata,5.99,salt,139
140,Caramelized Kale Gyro,34.99,baking powder,140
141,Caramelized Lamb Casserole,79.99,salt,141
142,Caramelized Lamb Tagine with Fries,29.99,milk,142
143,Caramelized Lentil Shawarma,59.99,chocolate chips,143
144,Caramelized Mushroom Bowl with Guacamole,1.49,eggs,144
145,Caramelized Mushroom Dumplings,3.29,flour,145
146,Caramelized Mushroom Pad Thai,24.99,pepper,146
147,Caramelized Mushroom Wrap with Noodles,3.49,chocolate chips,147
148,Caramelized Noodle Curry,54.99,salt,148
149,Caramelized Noodle Dumplings with Tomato Salsa,99.99,salt,149
150,Caramelized Noodle Pasta,6.49,flour,150
151,Caramelized Paneer Bowl with Yogurt Sauce,2.29,salt,151
152,Caramelized Paneer Dumplings with Herb Butter,29.99,sugar,152
153,Caramelized Pasta Pizza with Vegetables,34.99,vanilla extract,153
154,Caramelized Pasta Ramen with Coleslaw,2.49,baking powder,154
155,Caramelized Pork Panini,29.99,milk,155
156,Caramelized Pork Sandwich,3.99,butter,156
157,Caramelized Quinoa Frittata with Tomato Salsa,29.99,chocolate chips,157
158,Caramelized Quinoa Stew with Herb Butter,49.99,pepper,158
159,Caramelized Salmon Panini with Herb Butter,49.99,salt,159
160,Caramelized Spinach Bowl with Chimichurri,49.99,sugar,160
161,Caramelized Tofu Frittata,39.99,pepper,161
162,Caramelized Tofu Risotto,24.99,baking powder,162
163,Caramelized Tofu Shawarma,14.99,eggs,163
164,Caramelized Turkey Stew with Yogurt Sauce,4.29,baking powder,164
165,Carrot Bowl with Herb Butter,2.49,butter,165
166,Carrot Casserole,2.49,butter,166
167,Carrot Casserole with Chimichurri,2.29,flour,167
168,Carrot Curry,39.99,pepper,168
169,Carrot Fajitas,4.99,pepper,169
170,Carrot Paella with Chimichurri,3.79,flour,170
171,Carrot Paella with Side Salad,5.29,baking powder,171
172,Carrot Udon with Tahini,5.99,butter,172
173,Carrot Udon with Vegetables,3.99,chocolate chips,173
174,Cauliflower Burger,14.99,flour,174
175,Cauliflower Frittata,34.99,salt,175
176,Cauliflower Pad Thai with Peanut Sauce,1.79,pepper,176
177,Cauliflower Panini,3.99,flour,177
178,Cauliflower Udon,44.99,milk,178
179,Cheesecake,49.99,vanilla extract,179
180,Cheesy Bean Burger,15.99,pepper,180
181,Cheesy Bean Soup,2.49,butter,181
182,Cheesy Beef Fajitas with Guacamole,5.49,butter,182
183,Cheesy Beef Omelette with Mashed Potatoes,79.99,vanilla extract,183
184,Cheesy Beef Soup with Tomato Salsa,3.99,pepper,184
185,Cheesy Beef Stir Fry with Vegetables,12.99,pepper,185
186,Cheesy Broccoli Salad with Tahini,1.99,milk,186
187,Cheesy Carrot Casserole,4.29,flour,187
188,Cheesy Carrot Pad Thai,14.99,eggs,188
189,Cheesy Carrot Soup,2.99,butter,189
190,Cheesy Chickpea Pizza,129.99,chocolate chips,190
191,Cheesy Chickpea Spring Rolls,29.99,salt,191
192,Cheesy Egg Gyro,3.49,vanilla extract,192
193,Cheesy Egg Omelette,2.99,flour,193
194,Cheesy Eggplant Bowl with Mashed Potatoes,1.29,butter,194
195,Cheesy Eggplant Nachos with Fries,4.99,vanilla extract,195
196,Cheesy Eggplant Risotto,3.99,pepper,196
197,Cheesy Eggplant Sandwich with Rice,39.99,butter,197
198,Cheesy Eggplant Shawarma with Guacamole,359.99,flour,198
199,Cheesy Halloumi Nachos,29.99,chocolate chips,199
200,Cheesy Kale Burger with Pita,54.99,milk,200
201,Cheesy Kale Wrap,4.29,flour,201
202,Cheesy Lamb Sandwich,3.99,butter,202
203,Cheesy Lamb Soup with Vegetables,34.99,vanilla extract,203
204,Cheesy Lentil Burger,18.99,pepper,204
205,Cheesy Lentil Pizza with Guacamole,89.99,pepper,205
206,Cheesy Mushroom Salad with Peanut Sauce,89.99,sugar,206
207,Cheesy Mushroom Skewers with Hummus,29.99,chocolate chips,207
208,Cheesy Mushroom Soup,2.79,milk,208
209,Cheesy Mushroom Stir Fry,4.99,chocolate chips,209
210,Cheesy Noodle Fajitas,2.79,milk,210
211,Cheesy Noodle Shawarma,22.99,eggs,211
212,Cheesy Paneer Sushi Roll,15.99,sugar,212
213,Cheesy Pasta Casserole,19.99,pepper,213
214,Cheesy Pork Bowl,6.99,vanilla extract,214
215,Cheesy Pork Ramen,12.99,baking powder,215
216,Cheesy Pork Spring Rolls with Tahini,2.49,vanilla extract,216
217,Cheesy Potato Dumplings,99.99,milk,217
218,Cheesy Potato Frittata with Lemon Wedges,39.99,vanilla extract,218
219,Cheesy Potato Salad,3.59,salt,219
220,Cheesy Potato Wrap,12.99,butter,220
221,Cheesy Rice Fajitas with Guacamole,24.99,sugar,221
222,Cheesy Rice Salad,4.29,pepper,222
223,Cheesy Salmon Stew with Garlic Bread,14.99,milk,223
224,Cheesy Salmon Udon with Mashed Potatoes,3.29,sugar,224
225,Cheesy Shrimp Casserole with Side Salad,59.99,milk,225
226,Cheesy Shrimp Paella,19.99,salt,226
227,Cheesy Spinach Kebab with Herb Butter,12.99,chocolate chips,227
228,Cheesy Tofu Omelette with Fries,4.79,chocolate chips,228
229,Cheesy Tofu Pasta with Tomato Salsa,2.99,flour,229
230,Cheesy Tofu Soup,3.29,chocolate chips,230
231,Cheesy Turkey Fajitas,5.49,baking powder,231
232,Cheesy Zucchini Casserole with Coleslaw,2.49,flour,232
233,Cheesy Zucchini Ramen,4.99,sugar,233
234,Chicken Bowl with Side Salad,39.99,butter,234
235,Chicken Burger,3.29,butter,235
236,Chicken Casserole,23.99,salt,236
237,Chicken Kebab with Side Salad,4.79,flour,237
238,Chicken Omelette,44.99,milk,238
239,Chicken Risotto,199,baking powder,239
240,Chicken Soup with Tahini,4.89,flour,240
241,Chicken Stew,29.99,baking powder,241
242,Chicken Stew with Pita,3.49,sugar,242
243,Chicken Sushi Roll with Chimichurri,6.49,salt,243
244,Chicken Tacos with Cheese,2.29,sugar,244
245,Chicken Tacos with Vegetables,3.29,butter,245
246,Chicken Wings,3.99,chocolate chips,246
247,Chickpea Casserole with Garlic Bread,24.99,chocolate chips,247
248,Chickpea Dumplings with Tahini,2.49,butter,248
249,Chickpea Kebab with Lemon Wedges,34.99,eggs,249
250,Chickpea Panini with Tahini,22.99,butter,250
251,Chickpea Shawarma with Noodles,2.99,milk,251
252,Chickpea Spring Rolls with Noodles,3.49,baking powder,252
253,Chickpea Tagine with Garlic Bread,79.99,flour,253
254,Chili Bean Paella,29.99,eggs,254
255,Chili Bean Stew with Chimichurri,3.79,pepper,255
256,Chili Beef Curry,4.99,pepper,256
257,Chili Beef Panini,1.99,butter,257
258,Chili Broccoli Frittata,4.29,butter,258
259,Chili Carrot Bowl,129.99,vanilla extract,259
260,Chili Carrot Casserole with Pita,19.99,eggs,260
261,Chili Carrot Paella,7.99,vanilla extract,261
262,Chili Carrot Ramen,19.99,eggs,262
263,Chili Chicken Casserole,3.29,eggs,263
264,Chili Chickpea Bowl with Hummus,69.99,eggs,264
265,Chili Chickpea Grain Bowl,6.99,pepper,265
266,Chili Halloumi Curry with Roasted Veggies,2.99,baking powder,266
267,Chili Kale Kebab,24.99,pepper,267
268,Chili Lentil Casserole with Roasted Veggies,2.99,milk,268
269,Chili Lentil Fajitas with Rice,2.89,eggs,269
270,Chili Lentil Shawarma,39.99,butter,270
271,Chili Mushroom Pad Thai,3.79,pepper,271
272,Chili Mushroom Pasta with Vegetables,5.49,pepper,272
273,Chili Mushroom Skewers with Pita,9.99,salt,273
274,Chili Paneer Bowl with Yogurt Sauce,12.99,sugar,274
275,Chili Paneer Fajitas with Fries,25.99,salt,275
276,Chili Paneer Pizza with Hummus,399.99,butter,276
277,Chili Pasta Casserole with Mashed Potatoes,24.99,butter,277
278,Chili Pasta Omelette with Fries,39.99,chocolate chips,278
279,Chili Pork Kebab,34.99,baking powder,279
280,Chili Potato Tagine,39.99,flour,280
281,Chili Quinoa Omelette with Guacamole,3.59,eggs,281
282,Chili Quinoa Paella with Chimichurri,2.49,vanilla extract,282
283,Chili Rice Burger with Mashed Potatoes,49.99,milk,283
284,Chili Salmon Dumplings with Coleslaw,49.99,baking powder,284
285,Chili Salmon Stew,39.99,salt,285
286,Chili Shrimp Frittata,3.49,flour,286
287,Chili Shrimp Omelette,59.99,baking powder,287
288,Chili Shrimp Tagine,24.99,sugar,288
289,Chili Sweet Potato Tacos,4.29,sugar,289
290,Chili Tofu Nachos with Guacamole,2.49,sugar,290
291,Chili Tofu Pasta,4.49,eggs,291
292,Chili Tofu Salad,4.49,flour,292
293,Chili Turkey Kebab,19.99,salt,293
294,Chili Turkey Panini with Herb Butter,24.99,eggs,294
295,Chili Turkey Pizza with Fries,1.99,milk,295
296,Chili Zucchini Burrito with Yogurt Sauce,9.99,sugar,296
297,Chili Zucchini Tagine,4.99,baking powder,297
298,Chocolate Cake,0.99,pepper,298
299,Classic Bean Curry with Peanut Sauce,1.29,vanilla extract,299
300,Classic Bean Frittata,59.99,baking powder,300
301,Classic Bean Tagine,5.99,butter,301
302,Classic Beef Pad Thai with Tahini,59.99,salt,302
303,Classic Broccoli Sandwich,89.99,butter,303
304,Classic Carrot Burger,1.29,eggs,304
305,Classic Carrot Panini with Vegetables,79.99,milk,305
306,Classic Cauliflower Pasta with Coleslaw,1.39,butter,306
307,Classic Chicken Bowl with Cheese,49.99,milk,307
308,Classic Chicken Bowl with Peanut Sauce,5.99,eggs,308
309,Classic Chickpea Fajitas with Tahini,29.99,eggs,309
310,Classic Egg Curry,39.99,flour,310
311,Classic Egg Frittata with Fries,34.99,milk,311
312,Classic Egg Gyro,4.29,pepper,312
313,Classic Egg Tacos,89.99,baking powder,313
314,Classic Eggplant Sandwich,29.99,eggs,314
315,Classic Halloumi Panini,3.99,baking powder,315
316,Classic Kale Gyro,34.99,salt,316
317,Classic Kale Wrap,32.99,butter,317
318,Classic Lentil Burrito with Coleslaw,49.99,sugar,318
319,Classic Lentil Stew with Noodles,3.79,chocolate chips,319
320,Classic Mushroom Fajitas with Tomato Salsa,19.99,chocolate chips,320
321,Classic Mushroom Nachos with Cheese,54.99,butter,321
322,Classic Mushroom Panini with Tahini,3.29,milk,322
323,Classic Noodle Skewers,29.99,butter,323
324,Classic Noodle Wrap,5.49,salt,324
325,Classic Pasta Fajitas with Coleslaw,2.99,baking powder,325
326,Classic Pasta Fajitas with Side Salad,19.99,flour,326
327,Classic Pasta Salad,39.99,salt,327
328,Classic Pasta Shawarma,3.99,salt,328
329,Classic Pork Bowl,24.99,sugar,329
330,Classic Pork Ramen,3.49,milk,330
331,Classic Potato Panini,9.99,chocolate chips,331
332,Classic Potato Pasta,45.99,eggs,332
333,Classic Potato Tacos with Lemon Wedges,29.99,butter,333
334,Classic Quinoa Burger,69.99,butter,334
335,Classic Salmon Pad Thai,20.99,eggs,335
336,Classic Shrimp Sushi Roll,19.99,butter,336
337,Classic Spinach Skewers,99.99,sugar,337
338,Classic Sweet Potato Panini,129.99,eggs,338
339,Classic Sweet Potato Soup,29.99,butter,339
340,Classic Tofu Pasta,79.99,butter,340
341,Classic Zucchini Burrito,1.49,vanilla extract,341
342,Creamy Bean Spring Rolls,34.99,flour,342
343,Creamy Bean Sushi Roll,299.99,salt,343
344,Creamy Beef Tacos with Peanut Sauce,14.99,butter,344
345,Creamy Broccoli Risotto with Tahini,12.99,vanilla extract,345
346,Creamy Broccoli Tacos,22.99,vanilla extract,346
347,Creamy Carrot Pasta with Pita,4.29,butter,347
348,Creamy Carrot Udon,3.79,sugar,348
349,Creamy Cauliflower Dumplings,2.49,chocolate chips,349
350,Creamy Cauliflower Soup,3.29,salt,350
351,Creamy Egg Pizza with Herb Butter,4.99,butter,351
352,Creamy Egg Sandwich,24.99,vanilla extract,352
353,Creamy Egg Stew,29.99,pepper,353
354,Creamy Halloumi Frittata,10.99,baking powder,354
355,Creamy Kale Tagine,6.99,baking powder,355
356,Creamy Lentil Panini with Pita,25.99,pepper,356
357,Creamy Lentil Panini with Yogurt Sauce,39.99,eggs,357
358,Creamy Lentil Udon,8.49,sugar,358
359,Creamy Mushroom Omelette with Roasted Veggies,45.99,flour,359
360,Creamy Noodle Burger,29.99,sugar,360
361,Creamy Noodle Grain Bowl,79.99,flour,361
362,Creamy Paneer Burger with Chimichurri,29.99,vanilla extract,362
363,Creamy Paneer Fajitas with Fries,29.99,eggs,363
364,Creamy Paneer Kebab,4.49,eggs,364
365,Creamy Paneer Stir Fry,5.79,pepper,365
366,Creamy Pasta Grain Bowl,29.99,eggs,366
367,Creamy Pasta Gyro,6.49,chocolate chips,367
368,Creamy Pork Burger with Chimichurri,6.49,pepper,368
369,Creamy Pork Frittata,54.99,flour,369
370,Creamy Pork Panini,32.99,salt,370
371,Creamy Potato Udon with Chimichurri,4.5,eggs,371
372,Creamy Quinoa Burrito with Noodles,44.99,milk,372
373,Creamy Quinoa Dumplings with Vegetables,2.49,salt,373
374,Creamy Quinoa Pizza with Garlic Bread,4.99,flour,374
375,Creamy Rice Risotto with Herb Butter,24.99,pepper,375
376,Creamy Rice Shawarma,3.59,eggs,376
377,Creamy Salmon Skewers with Tahini,14.99,milk,377
378,Creamy Shrimp Burger,199.99,milk,378
379,Creamy Shrimp Curry with Side Salad,45.99,vanilla extract,379
380,Creamy Spinach Fajitas with Hummus,3.49,flour,380
381,Creamy Spinach Nachos,119.99,sugar,381
382,Creamy Spinach Ramen,6.99,chocolate chips,382
383,Creamy Sweet Potato Burger,69.99,butter,383
384,Creamy Sweet Potato Omelette,4.49,chocolate chips,384
385,Creamy Sweet Potato Risotto with Side Salad,14.99,baking powder,385
386,Creamy Tofu Bowl,4.19,butter,386
387,Creamy Turkey Burrito,22.99,eggs,387
388,Creamy Turkey Fajitas with Guacamole,27.99,pepper,388
389,Creamy Turkey Risotto with Rice,2.79,pepper,389
390,Creamy Turkey Spring Rolls,28.99,pepper,390
391,Creamy Turkey Sushi Roll with Fries,3.49,vanilla extract,391
392,Creamy Turkey Sushi Roll with Mashed Potatoes,3.79,vanilla extract,392
393,Creamy Zucchini Sushi Roll,89.99,vanilla extract,393
394,Crispy Bean Stir Fry with Side Salad,39.99,pepper,394
395,Crispy Beef Udon,34.99,vanilla extract,395
396,Crispy Broccoli Ramen with Mashed Potatoes,29.99,vanilla extract,396
397,Crispy Carrot Fajitas with Side Salad,2.49,butter,397
398,Crispy Carrot Stir Fry with Pita,7.99,butter,398
399,Crispy Chicken Spring Rolls with Side Salad,39.99,butter,399
400,Crispy Chickpea Bowl,69.99,chocolate chips,400
401,Crispy Chickpea Sushi Roll,5.49,pepper,401
402,Crispy Egg Burger with Tahini,19.99,eggs,402
403,Crispy Egg Stir Fry,29.99,pepper,403
404,Crispy Eggplant Shawarma,179.99,baking powder,404
405,Crispy Halloumi Bowl with Mashed Potatoes,2.99,milk,405
406,Crispy Halloumi Bowl with Peanut Sauce,29.99,vanilla extract,406
407,Crispy Halloumi Udon,3.59,butter,407
408,Crispy Lentil Pasta with Side Salad,4.99,milk,408
409,Crispy Lentil Soup with Hummus,12.99,chocolate chips,409
410,Crispy Mushroom Fajitas,39.99,sugar,410
411,Crispy Mushroom Ramen with Hummus,1.99,eggs,411
412,Crispy Mushroom Shawarma,3.29,chocolate chips,412
413,Crispy Paneer Burger with Tahini,5.49,salt,413
414,Crispy Paneer Gyro,15.99,pepper,414
415,Crispy Paneer Panini,14.99,pepper,415
416,Crispy Paneer Sandwich with Vegetables,39.99,flour,416
417,Crispy Pasta Ramen with Tahini,2.99,baking powder,417
418,Crispy Pork Dumplings with Chimichurri,2.79,sugar,418
419,Crispy Pork Dumplings with Yogurt Sauce,3.49,baking powder,419
420,Crispy Pork Omelette with Peanut Sauce,4.29,milk,420
421,Crispy Pork Stir Fry with Coleslaw,4.99,eggs,421
422,Crispy Pork Sushi Roll with Mashed Potatoes,7.99,eggs,422
423,Crispy Pork Tacos with Side Salad,2.99,milk,423
424,Crispy Potato Bowl with Herb Butter,4.29,pepper,424
425,Crispy Quinoa Burger,4.29,salt,425
426,Crispy Quinoa Curry,14.99,baking powder,426
427,Crispy Rice Burrito,1.89,chocolate chips,427
428,Crispy Salmon Grain Bowl,12.99,pepper,428
429,Crispy Salmon Salad,29.99,chocolate chips,429
430,Crispy Salmon Udon with Hummus,19.99,butter,430
431,Crispy Shrimp Pasta,2.99,sugar,431
432,Crispy Shrimp Stew with Cheese,10.99,eggs,432
433,Crispy Spinach Kebab,1.99,butter,433
434,Crispy Spinach Pizza with Coleslaw,44.99,salt,434
435,Crispy Sweet Potato Burger with Chimichurri,25.99,sugar,435
436,Crispy Sweet Potato Skewers,7.99,flour,436
437,Crispy Sweet Potato Skewers with Chimichurri,1.69,butter,437
438,Crispy Tofu Pasta,22.99,eggs,438
439,Crispy Tofu Shawarma,3.79,flour,439
440,Crispy Tofu Stew,59.99,salt,440
441,Crispy Tofu Tagine,8.49,eggs,441
442,Crispy Tofu Tagine with Tahini,6.49,salt,442
443,Crispy Turkey Curry,129.99,sugar,443
444,Crispy Turkey Stir Fry,39.99,pepper,444
445,Crispy Zucchini Burger,14.99,butter,445
446,Crispy Zucchini Nachos,8.49,milk,446
447,Crispy Zucchini Pizza,34.99,pepper,447
448,Crispy Zucchini Shawarma,14.99,chocolate chips,448
449,Cucumber,29.99,baking powder,449
450,Egg Bowl with Tomato Salsa,29.99,salt,450
451,Egg Casserole with Yogurt Sauce,2.49,eggs,451
452,Egg Risotto,34.99,sugar,452
453,Egg Sushi Roll with Noodles,59.99,salt,453
454,Egg Wrap with Cheese,39.99,pepper,454
455,Eggplant Curry with Side Salad,24.99,pepper,455
456,Eggplant Kebab with Guacamole,34.99,chocolate chips,456
457,Eggplant Pasta with Garlic Bread,3.49,salt,457
458,Eggplant Ramen with Chimichurri,299.99,pepper,458
459,Eggplant Shawarma with Herb Butter,199.99,milk,459
460,Eggplant Sushi Roll with Noodles,199.99,milk,460
461,Eggplant Wrap with Pita,7.99,vanilla extract,461
462,French Fries,3.99,chocolate chips,462
463,Fresh Bean Gyro,3.29,vanilla extract,463
464,Fresh Bean Skewers with Lemon Wedges,39.99,vanilla extract,464
465,Fresh Bean Stew with Noodles,59.99,flour,465
466,Fresh Beef Panini with Coleslaw,3.49,salt,466
467,Fresh Beef Sandwich,5.49,chocolate chips,467
468,Fresh Beef Skewers with Herb Butter,99.99,sugar,468
469,Fresh Beef Tacos,3.99,salt,469
470,Fresh Beef Tagine with Rice,2.99,sugar,470
471,Fresh Broccoli Panini with Fries,299.99,milk,471
472,Fresh Carrot Tagine with Side Salad,5.49,flour,472
473,Fresh Cauliflower Dumplings with Cheese,5.49,flour,473
474,Fresh Cauliflower Grain Bowl,3.99,baking powder,474
475,Fresh Cauliflower Udon,4.99,vanilla extract,475
476,Fresh Chickpea Frittata with Roasted Veggies,19.99,sugar,476
477,Fresh Egg Salad with Noodles,4.99,sugar,477
478,Fresh Eggplant Wrap with Hummus,109.99,sugar,478
479,Fresh Halloumi Wrap with Vegetables,1.99,flour,479
480,Fresh Kale Paella with Cheese,3.79,sugar,480
481,Fresh Kale Spring Rolls,2.49,flour,481
482,Fresh Lamb Burger with Coleslaw,15.99,butter,482
483,Fresh Lamb Casserole with Garlic Bread,69.99,chocolate chips,483
484,Fresh Lentil Kebab with Lemon Wedges,5.99,flour,484
485,Fresh Lentil Omelette with Chimichurri,4.99,salt,485
486,Fresh Lentil Risotto with Lemon Wedges,12.99,flour,486
487,Fresh Lentil Shawarma with Cheese,12.99,salt,487
488,Fresh Mushroom Burrito,89.99,salt,488
489,Fresh Mushroom Pasta with Chimichurri,2.99,baking powder,489
490,Fresh Mushroom Tagine,129.99,sugar,490
491,Fresh Mushroom Tagine with Peanut Sauce,2.99,salt,491
492,Fresh Noodle Burger with Tahini,6.49,salt,492
493,Fresh Noodle Frittata with Fries,4.99,chocolate chips,493
494,Fresh Noodle Spring Rolls,18.99,baking powder,494
495,Fresh Paneer Burrito with Guacamole,29.99,sugar,495
496,Fresh Paneer Pasta,54.99,chocolate chips,496
497,Fresh Pasta Fajitas,3.29,baking powder,497
